x-axis,1,2,3,4,D0-D7,D8-D15
second,Volt,Volt,Volt,Volt,,
-23.40000E-03,-81.90411E-03,+3.43723846E+00,+0.0E+00,+110.35566E-03,0,0
-23.37500E-03,-119.56102E-03,+3.26987444E+00,-167.36402E-03,+47.59415E-03,0,0
-23.35000E-03,+106.38040E-03,+3.37447695E+00,-167.36402E-03,+235.87867E-03,0,0
-23.32500E-03,-25.41876E-03,+3.39539746E+00,+0.0E+00,-203.45187E-03,0,0
-23.30000E-03,-81.90411E-03,+3.31171545E+00,+62.76151E-03,-119.76986E-03,0,0
-23.27500E-03,-119.56102E-03,+3.37447695E+00,-167.36402E-03,+47.59415E-03,0,0
-23.25000E-03,-157.21792E-03,+3.37447695E+00,-146.44351E-03,-36.08785E-03,0,0
-23.22500E-03,-157.21792E-03,+173.64014E-03,-167.36402E-03,+3.29027197E+00,0,0
-23.20000E-03,-25.41876E-03,+27.19663E-03,-125.52301E-03,+3.22751046E+00,0,0
-23.17500E-03,+68.72350E-03,-77.40588E-03,+41.84100E-03,+3.29027197E+00,0,0
-23.15000E-03,-25.41876E-03,+27.19663E-03,-20.92050E-03,+3.29027197E+00,0,0
-23.12500E-03,-176.04637E-03,+48.11713E-03,-167.36402E-03,+3.26935147E+00,0,0
-23.10000E-03,-119.56102E-03,+27.19663E-03,+0.0E+00,+3.24843096E+00,0,0
-23.07500E-03,-25.41876E-03,-35.56488E-03,+0.0E+00,+3.39487448E+00,0,0
-23.05000E-03,-157.21792E-03,-119.24688E-03,-146.44351E-03,+3.43671548E+00,0,0
-23.02500E-03,-25.41876E-03,+27.19663E-03,-20.92050E-03,+3.43671548E+00,0,0
-23.00000E-03,-119.56102E-03,-77.40588E-03,+41.84100E-03,+3.24843096E+00,0,0
-22.97500E-03,+68.72350E-03,+27.19663E-03,-167.36402E-03,+3.29027197E+00,0,0
-22.95000E-03,+125.20885E-03,-140.16739E-03,-146.44351E-03,+3.31119247E+00,0,0
-22.92500E-03,-25.41876E-03,-119.24688E-03,+0.0E+00,+3.29027197E+00,0,0
-22.90000E-03,-25.41876E-03,+27.19663E-03,+0.0E+00,+3.24843096E+00,0,0
-22.87500E-03,+125.20885E-03,+27.19663E-03,+0.0E+00,+3.29027197E+00,0,0
-22.85000E-03,-289.01708E-03,+27.19663E-03,+0.0E+00,+3.29027197E+00,0,0
-22.82500E-03,-157.21792E-03,+48.11713E-03,-313.80753E-03,+3.10198745E+00,0,0
-22.80000E-03,-81.90411E-03,+27.19663E-03,-167.36402E-03,+3.18566946E+00,0,0
-22.77500E-03,-25.41876E-03,+27.19663E-03,-104.60251E-03,+3.22751046E+00,0,0
-22.75000E-03,-157.21792E-03,+48.11713E-03,-20.92050E-03,+3.18566946E+00,0,0
-22.72500E-03,-44.24721E-03,-98.32638E-03,-146.44351E-03,+3.14382845E+00,0,0
-22.70000E-03,-119.56102E-03,-140.16739E-03,-167.36402E-03,+3.18566946E+00,0,0
-22.67500E-03,-119.56102E-03,-35.56488E-03,-62.76151E-03,+3.18566946E+00,0,0
-22.65000E-03,+87.55195E-03,+27.19663E-03,+0.0E+00,+3.12290795E+00,0,0
-22.62500E-03,-176.04637E-03,+6.27613E-03,-146.44351E-03,+3.14382845E+00,0,0
-22.60000E-03,-176.04637E-03,+27.19663E-03,-167.36402E-03,+3.39487448E+00,0,0
-22.57500E-03,-81.90411E-03,-140.16739E-03,+0.0E+00,+3.12290795E+00,0,0
-22.55000E-03,-176.04637E-03,+152.71964E-03,+146.44351E-03,+3.12290795E+00,0,0
-22.52500E-03,-44.24721E-03,+173.64014E-03,-167.36402E-03,+3.16474896E+00,0,0
-22.50000E-03,-119.56102E-03,+27.19663E-03,-104.60251E-03,+3.18566946E+00,0,0
-22.47500E-03,-63.07566E-03,-77.40588E-03,-62.76151E-03,+3.16474896E+00,0,0
-22.45000E-03,+87.55195E-03,+27.19663E-03,-41.84100E-03,+3.29027197E+00,0,0
-22.42500E-03,-138.38947E-03,+173.64014E-03,-167.36402E-03,+3.43671548E+00,0,0
-22.40000E-03,-119.56102E-03,+27.19663E-03,-62.76151E-03,+3.33211297E+00,0,0
-22.37500E-03,-63.07566E-03,-35.56488E-03,-104.60251E-03,+3.18566946E+00,0,0
-22.35000E-03,-289.01708E-03,-119.24688E-03,-313.80753E-03,+3.14382845E+00,0,0
